avg_temperature_2m_24h,avg_relative_humidity_2m_24h,avg_dew_point_2m_24h,avg_apparent_temperature_24h,avg_temperature_80m_24h,avg_temperature_120m_24h,avg_wind_speed_10m_24h,avg_wind_speed_80m_24h,avg_visibility_24h,total_rain_24h,total_showers_24h,total_snowfall_24h,avg_temperature_2m_daylight,avg_relative_humidity_2m_daylight,avg_dew_point_2m_daylight,avg_apparent_temperature_daylight,avg_temperature_80m_daylight,avg_temperature_120m_daylight,avg_wind_speed_10m_daylight,avg_wind_speed_80m_daylight,avg_visibility_daylight,total_rain_daylight,total_showers_daylight,total_snowfall_daylight,wind_speed_10m_m_per_s,wind_speed_80m_m_per_s,temperature_2m_celsius,apparent_temperature_celsius,temperature_80m_celsius,temperature_120m_celsius,soil_temperature_0cm_celsius,soil_temperature_6cm_celsius,rain_mm,showers_mm,snowfall_mm,daylight_hours,sunrise_iso,sunset_iso
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,,,,,,,,,,,,,1.1317768000000001,4.115552,15.0,14.722222222222221,19.777777777777775,20.166666666666668,13.11111111111111,16.055555555555557,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,,,,,,,,,,,,,1.1317768000000001,3.9097744,14.166666666666666,13.722222222222223,19.27777777777778,19.777777777777775,12.5,15.333333333333334,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,,,,,,,,,,,,,1.1317768000000001,3.9612188,13.61111111111111,13.11111111111111,18.833333333333336,19.444444444444443,12.0,14.777777777777779,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,,,,,,,,,,,,,1.1317768000000001,4.064107600000001,13.277777777777779,12.722222222222221,18.444444444444443,19.166666666666668,11.666666666666666,14.277777777777779,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,1.28611,4.5785516,13.166666666666668,12.388888888888888,17.944444444444443,18.833333333333336,11.833333333333332,13.833333333333334,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,1.2346656,4.9901067999999995,13.666666666666666,12.888888888888891,16.77777777777778,17.666666666666668,14.166666666666666,13.722222222222223,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,1.5947764,5.2987732,16.444444444444443,15.666666666666666,16.444444444444443,17.444444444444443,18.111111111111107,14.722222222222221,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.057776,3.5496636,19.055555555555557,18.22222222222222,17.666666666666668,17.27777777777778,21.722222222222218,16.444444444444443,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.3664424,3.85833,21.722222222222218,20.888888888888886,19.944444444444446,19.27777777777778,25.11111111111111,18.444444444444443,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.7265532,4.475662799999999,23.88888888888889,23.555555555555557,21.833333333333332,21.166666666666664,27.722222222222225,20.555555555555557,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,3.1381083999999997,5.2987732,25.11111111111111,24.72222222222222,23.166666666666668,22.333333333333332,27.61111111111111,22.22222222222222,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.9837752,4.9901067999999995,27.055555555555557,26.722222222222218,24.66666666666667,23.833333333333336,31.88888888888889,24.222222222222218,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.9323308000000003,4.9901067999999995,28.111111111111107,28.388888888888886,25.777777777777782,24.944444444444446,32.388888888888886,25.72222222222222,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,2.9837752,5.0929956,28.77777777777778,28.666666666666668,26.444444444444443,25.777777777777782,32.27777777777778,26.666666666666668,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,3.3953303999999997,5.9675504,29.333333333333332,28.444444444444443,27.277777777777775,26.444444444444443,31.833333333333332,27.22222222222222,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,3.5496636,6.5848832,29.666666666666668,27.61111111111111,27.83333333333333,27.055555555555557,30.833333333333332,27.444444444444446,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
21.891203703703706,53,11.125000000000004,21.175925925925924,22.49768518518518,22.37268518518518,2.2914193166666665,5.240898250000001,24140.000589599993,0.0,0.0,0.0,24.28472222222221,46,11.28125,23.479166666666668,23.427083333333332,23.034722222222225,2.6751088,5.4048772750000005,24140.000589599997,0.0,0.0,0.0,3.601108,6.9964384,29.72222222222222,27.444444444444446,28.166666666666668,27.444444444444446,30.333333333333332,27.333333333333332,0.0,0.0,0.0,16.25583333333333,2025-07-25T22:26:53Z,2025-07-26T14:42:14Z
